Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
【1853年】寛永寺参詣,02/28/2027,,02/28/2027,,True,"【1853-02-28の出来事を追体験】
和暦: 嘉永6年1月28日
人物: 徳川家慶
解説: 将軍の定期参詣
タグ: 宗教

本来の日付: 1853-02-28
追体験日付: 2027-02-28",,False
【1853年】上巳の節句（雛祭り）,03/03/2027,,03/03/2027,,True,"【1853-03-03の出来事を追体験】
和暦: 嘉永6年2月3日
人物: 全国
解説: 女児の祝い
タグ: 社会

本来の日付: 1853-03-03
追体験日付: 2027-03-03",,False
【1853年】啓蟄,03/06/2027,,03/06/2027,,True,"【1853-03-06の出来事を追体験】
和暦: 嘉永6年2月6日
人物: 暦
解説: 虫が活動開始
タグ: 自然

本来の日付: 1853-03-06
追体験日付: 2027-03-06",,False
【1853年】春の人事異動,03/10/2027,,03/10/2027,,True,"【1853-03-10の出来事を追体験】
和暦: 嘉永6年2月10日
人物: 幕府
解説: 定期人事刷新
タグ: 政治

本来の日付: 1853-03-10
追体験日付: 2027-03-10",,False
【1853年】春季祭礼準備,03/15/2027,,03/15/2027,,True,"【1853-03-15の出来事を追体験】
和暦: 嘉永6年2月15日
人物: 江戸
解説: 年中行事準備
タグ: 社会

本来の日付: 1853-03-15
追体験日付: 2027-03-15",,False
【1853年】桜田門警備強化,03/20/2027,,03/20/2027,,True,"【1853-03-20の出来事を追体験】
和暦: 嘉永6年2月20日
人物: 幕府
解説: 江戸城警備
タグ: 軍事

本来の日付: 1853-03-20
追体験日付: 2027-03-20",,False
【1853年】春分,03/21/2027,,03/21/2027,,True,"【1853-03-21の出来事を追体験】
和暦: 嘉永6年2月21日
人物: 暦
解説: 昼夜の長さが等しくなる
タグ: 自然

本来の日付: 1853-03-21
追体験日付: 2027-03-21",,False
【1853年】桜開花予想,03/25/2027,,03/25/2027,,True,"【1853-03-25の出来事を追体験】
和暦: 嘉永6年2月25日
人物: 江戸
解説: 春の到来
タグ: 自然

本来の日付: 1853-03-25
追体験日付: 2027-03-25",,False
【1853年】坂本龍馬、千葉道場入門準備,04/01/2027,,04/01/2027,,True,"【1853-04-01の出来事を追体験】
和暦: 嘉永6年3月1日
人物: 坂本龍馬
解説: 江戸剣術修行準備
タグ: 学問

本来の日付: 1853-04-01
追体験日付: 2027-04-01",,False
【1853年】清明,04/05/2027,,04/05/2027,,True,"【1853-04-05の出来事を追体験】
和暦: 嘉永6年3月5日
人物: 暦
解説: 万物清浄明潔の時期
タグ: 自然

本来の日付: 1853-04-05
追体験日付: 2027-04-05",,False
【1853年】昌平坂学問所春季試験,04/10/2027,,04/10/2027,,True,"【1853-04-10の出来事を追体験】
和暦: 嘉永6年3月10日
人物: 幕府
解説: 儒学教育評価
タグ: 学問

本来の日付: 1853-04-10
追体験日付: 2027-04-10",,False
【1853年】天保山で洋式調練,04/19/2027,,04/19/2027,,True,"【1853-04-19の出来事を追体験】
和暦: 嘉永6年3月19日
人物: 諸藩士
解説: 海防軍事訓練
タグ: 軍事

本来の日付: 1853-04-19
追体験日付: 2027-04-19",,False
【1853年】穀雨,04/20/2027,,04/20/2027,,True,"【1853-04-20の出来事を追体験】
和暦: 嘉永6年3月20日
人物: 暦
解説: 穀物を潤す雨の時期
タグ: 自然

本来の日付: 1853-04-20
追体験日付: 2027-04-20",,False
【1853年】坂本龍馬、千葉道場入門,04/25/2027,,04/25/2027,,True,"【1853-04-25の出来事を追体験】
和暦: 嘉永6年3月25日
人物: 坂本龍馬
解説: 北辰一刀流修行開始
タグ: 学問

本来の日付: 1853-04-25
追体験日付: 2027-04-25",,False
【1853年】月末海防会議,04/29/2027,,04/29/2027,,True,"【1853-04-29の出来事を追体験】
和暦: 嘉永6年3月29日
人物: 幕閣
解説: 安全保障議論
タグ: 軍事

本来の日付: 1853-04-29
追体験日付: 2027-04-29",,False
【1853年】端午の節句,05/05/2027,,05/05/2027,,True,"【1853-05-05の出来事を追体験】
和暦: 嘉永6年4月5日
人物: 全国
解説: 男児の祝い
タグ: 社会

本来の日付: 1853-05-05
追体験日付: 2027-05-05",,False
【1853年】立夏,05/06/2027,,05/06/2027,,True,"【1853-05-06の出来事を追体験】
和暦: 嘉永6年4月6日
人物: 暦
解説: 夏の始まり
タグ: 自然

本来の日付: 1853-05-06
追体験日付: 2027-05-06",,False
【1853年】蕃書和解御用設置準備,05/10/2027,,05/10/2027,,True,"【1853-05-10の出来事を追体験】
和暦: 嘉永6年4月12日
人物: 幕府
解説: 洋書翻訳体制
タグ: 学問

本来の日付: 1853-05-10
追体験日付: 2027-05-10",,False
【1853年】久留米藩眞木保臣ら勤王派禁固,05/17/2027,,05/17/2027,,True,"【1853-05-17の出来事を追体験】
和暦: 嘉永6年4月19日
人物: 眞木保臣
解説: 幕政改革派の処罰
タグ: 武力弾圧

本来の日付: 1853-05-17
追体験日付: 2027-05-17",,False
【1853年】異国船警戒令強化,05/20/2027,,05/20/2027,,True,"【1853-05-20の出来事を追体験】
和暦: 嘉永6年4月22日
人物: 浦賀奉行
解説: 沿岸警備強化
タグ: 軍事

本来の日付: 1853-05-20
追体験日付: 2027-05-20",,False
【1853年】小満,05/21/2027,,05/21/2027,,True,"【1853-05-21の出来事を追体験】
和暦: 嘉永6年4月23日
人物: 暦
解説: 万物が次第に長じて満つ
タグ: 自然

本来の日付: 1853-05-21
追体験日付: 2027-05-21",,False
【1853年】吉田松陰、佐久間象山入門,05/25/2027,,05/25/2027,,True,"【1853-05-25の出来事を追体験】
和暦: 嘉永6年4月27日
人物: 吉田松陰
解説: 西洋兵学修行開始
タグ: 学問

本来の日付: 1853-05-25
追体験日付: 2027-05-25",,False
【1853年】衣替え,06/01/2027,,06/01/2027,,True,"【1853-06-01の出来事を追体験】
和暦: 嘉永6年5月4日
人物: 全国
解説: 夏服への更衣
タグ: 社会

本来の日付: 1853-06-01
追体験日付: 2027-06-01",,False
【1853年】ペリー艦隊浦賀沖来航,06/03/2027,,06/03/2027,,True,"【1853-06-03の出来事を追体験】
和暦: 嘉永6年5月6日
人物: ペリー
解説: 黒船来航、日本開国要求
タグ: 外交

本来の日付: 1853-06-03
追体験日付: 2027-06-03",,False
【1853年】浦賀奉行緊急協議,06/04/2027,,06/04/2027,,True,"【1853-06-04の出来事を追体験】
和暦: 嘉永6年5月7日
人物: 戸田氏栄
解説: 黒船対応策検討
タグ: 政治

本来の日付: 1853-06-04
追体験日付: 2027-06-04",,False
【1853年】江戸城緊急登城,06/05/2027,,06/05/2027,,True,"【1853-06-05の出来事を追体験】
和暦: 嘉永6年5月8日
人物: 老中阿部正弘
解説: 異国船対策協議
タグ: 政治

本来の日付: 1853-06-05
追体験日付: 2027-06-05",,False
【1853年】芒種,06/06/2027,,06/06/2027,,True,"【1853-06-06の出来事を追体験】
和暦: 嘉永6年5月9日
人物: 暦
解説: 芒のある穀物の種蒔き時
タグ: 自然

本来の日付: 1853-06-06
追体験日付: 2027-06-06",,False
【1853年】ペリー艦隊示威行動,06/07/2027,,06/07/2027,,True,"【1853-06-07の出来事を追体験】
和暦: 嘉永6年5月10日
人物: ペリー
解説: 江戸湾内測量と威嚇
タグ: 外交

本来の日付: 1853-06-07
追体験日付: 2027-06-07",,False
【1853年】江戸市中騒然,06/08/2027,,06/08/2027,,True,"【1853-06-08の出来事を追体験】
和暦: 嘉永6年5月11日
人物: 江戸庶民
解説: 黒船の噂で民心動揺
タグ: 社会

本来の日付: 1853-06-08
追体験日付: 2027-06-08",,False
【1853年】ペリー久里浜上陸、国書受渡,06/09/2027,,06/09/2027,,True,"【1853-06-09の出来事を追体験】
和暦: 嘉永6年5月12日
人物: ペリー
解説: 米大統領親書提出
タグ: 外交

本来の日付: 1853-06-09
追体験日付: 2027-06-09",,False
【1853年】ペリー艦隊江戸湾侵入,06/10/2027,,06/10/2027,,True,"【1853-06-10の出来事を追体験】
和暦: 嘉永6年5月13日
人物: ペリー
解説: 測量名目で威嚇行動
タグ: 外交

本来の日付: 1853-06-10
追体験日付: 2027-06-10",,False
【1853年】江戸市中大騒動,06/11/2027,,06/11/2027,,True,"【1853-06-11の出来事を追体験】
和暦: 嘉永6年5月14日
人物: 江戸庶民
解説: 泰平の世の終焉不安
タグ: 社会

本来の日付: 1853-06-11
追体験日付: 2027-06-11",,False
【1853年】ペリー艦隊離日,06/12/2027,,06/12/2027,,True,"【1853-06-12の出来事を追体験】
和暦: 嘉永6年5月15日
人物: ペリー
解説: 翌年再来を予告
タグ: 外交

本来の日付: 1853-06-12
追体験日付: 2027-06-12",,False
【1853年】幕閣緊急会議,06/13/2027,,06/13/2027,,True,"【1853-06-13の出来事を追体験】
和暦: 嘉永6年5月16日
人物: 老中阿部正弘
解説: 対米政策検討
タグ: 政治

本来の日付: 1853-06-13
追体験日付: 2027-06-13",,False
【1853年】諸大名意見聴取開始,06/14/2027,,06/14/2027,,True,"【1853-06-14の出来事を追体験】
和暦: 嘉永6年5月17日
人物: 阿部正弘
解説: 異例の開明政策
タグ: 政治

本来の日付: 1853-06-14
追体験日付: 2027-06-14",,False
【1853年】海防強化令準備,06/15/2027,,06/15/2027,,True,"【1853-06-15の出来事を追体験】
和暦: 嘉永6年5月18日
人物: 幕府
解説: 全国防備体制検討
タグ: 軍事

本来の日付: 1853-06-15
追体験日付: 2027-06-15",,False
【1853年】海防令諸藩発布,06/20/2027,,06/20/2027,,True,"【1853-06-20の出来事を追体験】
和暦: 嘉永6年5月23日
人物: 幕府
解説: 全国海岸防備強化
タグ: 軍事

本来の日付: 1853-06-20
追体験日付: 2027-06-20",,False
【1853年】夏至,06/21/2027,,06/21/2027,,True,"【1853-06-21の出来事を追体験】
和暦: 嘉永6年5月24日
人物: 暦
解説: 一年で昼が最も長い日
タグ: 自然

本来の日付: 1853-06-21
追体験日付: 2027-06-21",,False
【1853年】将軍徳川家慶急死,06/22/2027,,06/22/2027,,True,"【1853-06-22の出来事を追体験】
和暦: 嘉永6年5月25日
人物: 徳川家慶
解説: 外交危機中の将軍死
タグ: 政治

本来の日付: 1853-06-22
追体験日付: 2027-06-22",,False
【1853年】家慶死去秘匿,06/23/2027,,06/23/2027,,True,"【1853-06-23の出来事を追体験】
和暦: 嘉永6年5月26日
人物: 幕閣
解説: 政局混乱回避策
タグ: 政治

本来の日付: 1853-06-23
追体験日付: 2027-06-23",,False
【1853年】後継問題協議,06/24/2027,,06/24/2027,,True,"【1853-06-24の出来事を追体験】
和暦: 嘉永6年5月27日
人物: 幕閣
解説: 家定擁立準備
タグ: 政治

本来の日付: 1853-06-24
追体験日付: 2027-06-24",,False
【1853年】家慶死去隠蔽継続,06/25/2027,,06/25/2027,,True,"【1853-06-25の出来事を追体験】
和暦: 嘉永6年5月28日
人物: 幕閣
解説: 情報統制強化
タグ: 政治

本来の日付: 1853-06-25
追体験日付: 2027-06-25",,False
【1853年】江戸城内緊急協議,06/30/2027,,06/30/2027,,True,"【1853-06-30の出来事を追体験】
和暦: 嘉永6年6月3日
人物: 幕閣
解説: ペリー対応策
タグ: 政治

本来の日付: 1853-06-30
追体験日付: 2027-06-30",,False
【1853年】阿部正弘、諸大名意見聴取,07/01/2027,,07/01/2027,,True,"【1853-07-01の出来事を追体験】
和暦: 嘉永6年6月4日
人物: 阿部正弘
解説: 開明的人材登用
タグ: 政治

本来の日付: 1853-07-01
追体験日付: 2027-07-01",,False
【1853年】徳川斉昭召還,07/02/2027,,07/02/2027,,True,"【1853-07-02の出来事を追体験】
和暦: 嘉永6年6月5日
人物: 徳川斉昭
解説: 海防議論参加
タグ: 政治

本来の日付: 1853-07-02
追体験日付: 2027-07-02",,False
【1853年】徳川斉昭江戸城登城,07/03/2027,,07/03/2027,,True,"【1853-07-03の出来事を追体験】
和暦: 嘉永6年6月6日
人物: 徳川斉昭
解説: 攘夷論主導開始
タグ: 政治

本来の日付: 1853-07-03
追体験日付: 2027-07-03",,False
【1853年】江戸湾警備強化,07/05/2027,,07/05/2027,,True,"【1853-07-05の出来事を追体験】
和暦: 嘉永6年6月8日
人物: 幕府
解説: 沿岸防備体制
タグ: 軍事

本来の日付: 1853-07-05
追体験日付: 2027-07-05",,False
【1853年】小暑,07/07/2027,,07/07/2027,,True,"【1853-07-07の出来事を追体験】
和暦: 嘉永6年6月10日
人物: 暦
解説: 暑さが本格化
タグ: 自然

本来の日付: 1853-07-07
追体験日付: 2027-07-07",,False
【1853年】斉昭海防意見十ヶ条提出,07/09/2027,,07/09/2027,,True,"【1853-07-09の出来事を追体験】
和暦: 嘉永6年6月12日
人物: 徳川斉昭
解説: 攘夷論政策提言
タグ: 軍事

本来の日付: 1853-07-09
追体験日付: 2027-07-09",,False
【1853年】幕府五ヵ年節約令,07/14/2027,,07/14/2027,,True,"【1853-07-14の出来事を追体験】
和暦: 嘉永6年6月17日
人物: 幕府
解説: 財政緊縮政策
タグ: 経済

本来の日付: 1853-07-14
追体験日付: 2027-07-14",,False
【1853年】諸藩海防令伝達,07/15/2027,,07/15/2027,,True,"【1853-07-15の出来事を追体験】
和暦: 嘉永6年6月18日
人物: 幕府
解説: 全国防備指令
タグ: 軍事

本来の日付: 1853-07-15
追体験日付: 2027-07-15",,False
【1853年】プチャーチン長崎来航,07/18/2027,,07/18/2027,,True,"【1853-07-18の出来事を追体験】
和暦: 嘉永6年6月21日
人物: プチャーチン
解説: ロシア通商・国境要求
タグ: 外交

本来の日付: 1853-07-18
追体験日付: 2027-07-18",,False
【1853年】ペリー琉球寄港,07/22/2027,,07/22/2027,,True,"【1853-07-22の出来事を追体験】
和暦: 嘉永6年6月25日
人物: ペリー
解説: 物資補給と威嚇
タグ: 外交

本来の日付: 1853-07-22
追体験日付: 2027-07-22",,False
【1853年】大暑,07/23/2027,,07/23/2027,,True,"【1853-07-23の出来事を追体験】
和暦: 嘉永6年6月26日
人物: 暦
解説: 一年で最も暑い時期
タグ: 自然

本来の日付: 1853-07-23
追体験日付: 2027-07-23",,False
【1853年】江戸市中流言対策,07/25/2027,,07/25/2027,,True,"【1853-07-25の出来事を追体験】
和暦: 嘉永6年6月28日
人物: 町奉行
解説: 治安維持
タグ: 社会

本来の日付: 1853-07-25
追体験日付: 2027-07-25",,False
【1853年】米国書簡諸藩回付,07/26/2027,,07/26/2027,,True,"【1853-07-26の出来事を追体験】
和暦: 嘉永6年6月29日
人物: 阿部正弘
解説: 全国情報共有
タグ: 政治

本来の日付: 1853-07-26
追体験日付: 2027-07-26",,False
【1853年】夏祭り警備強化,08/01/2027,,08/01/2027,,True,"【1853-08-01の出来事を追体験】
和暦: 嘉永6年7月5日
人物: 町奉行
解説: 民衆統制
タグ: 社会

本来の日付: 1853-08-01
追体験日付: 2027-08-01",,False
【1853年】勝海舟海防意見書提出,08/05/2027,,08/05/2027,,True,"【1853-08-05の出来事を追体験】
和暦: 嘉永6年7月9日
人物: 勝海舟
解説: 海軍創設・開国論
タグ: 軍事

本来の日付: 1853-08-05
追体験日付: 2027-08-05",,False
【1853年】高島秋帆禁固解除,08/06/2027,,08/06/2027,,True,"【1853-08-06の出来事を追体験】
和暦: 嘉永6年7月10日
人物: 高島秋帆
解説: 砲術家復活
タグ: 軍事

本来の日付: 1853-08-06
追体験日付: 2027-08-06",,False
【1853年】立秋,08/08/2027,,08/08/2027,,True,"【1853-08-08の出来事を追体験】
和暦: 嘉永6年7月12日
人物: 暦
解説: 秋の始まり
タグ: 自然

本来の日付: 1853-08-08
追体験日付: 2027-08-08",,False
【1853年】品川台場設計完成,08/10/2027,,08/10/2027,,True,"【1853-08-10の出来事を追体験】
和暦: 嘉永6年7月14日
人物: 江川英龍
解説: 要塞建設計画
タグ: 軍事

本来の日付: 1853-08-10
追体験日付: 2027-08-10",,False
【1853年】佐賀藩大砲50門鋳造要請,08/15/2027,,08/15/2027,,True,"【1853-08-15の出来事を追体験】
和暦: 嘉永6年7月19日
人物: 鍋島直正
解説: 最新軍備依頼
タグ: 軍事

本来の日付: 1853-08-15
追体験日付: 2027-08-15",,False
【1853年】大砲鋳造準備,08/20/2027,,08/20/2027,,True,"【1853-08-20の出来事を追体験】
和暦: 嘉永6年7月24日
人物: 幕府
解説: 武器製造体制
タグ: 軍事

本来の日付: 1853-08-20
追体験日付: 2027-08-20",,False
【1853年】処暑,08/23/2027,,08/23/2027,,True,"【1853-08-23の出来事を追体験】
和暦: 嘉永6年7月27日
人物: 暦
解説: 暑さが止む頃
タグ: 自然

本来の日付: 1853-08-23
追体験日付: 2027-08-23",,False
【1853年】品川台場建設開始,08/24/2027,,08/24/2027,,True,"【1853-08-24の出来事を追体験】
和暦: 嘉永6年7月28日
人物: 江川英龍
解説: 江戸湾防御要塞
タグ: 軍事

本来の日付: 1853-08-24
追体験日付: 2027-08-24",,False
【1853年】佐賀藩士蒸気機関車見学,08/28/2027,,08/28/2027,,True,"【1853-08-28の出来事を追体験】
和暦: 嘉永6年8月2日
人物: 佐賀藩士
解説: 西洋技術体験
タグ: 学問

本来の日付: 1853-08-28
追体験日付: 2027-08-28",,False
【1853年】風水害対策,09/01/2027,,09/01/2027,,True,"【1853-09-01の出来事を追体験】
和暦: 嘉永6年8月6日
人物: 幕府
解説: 災害準備
タグ: 災害

本来の日付: 1853-09-01
追体験日付: 2027-09-01",,False
【1853年】長崎警備強化,09/05/2027,,09/05/2027,,True,"【1853-09-05の出来事を追体験】
和暦: 嘉永6年8月10日
人物: 幕府
解説: 西国防備体制
タグ: 軍事

本来の日付: 1853-09-05
追体験日付: 2027-09-05",,False
【1853年】プチャーチン長崎測量,09/08/2027,,09/08/2027,,True,"【1853-09-08の出来事を追体験】
和暦: 嘉永6年8月13日
人物: プチャーチン
解説: 沿岸調査実施
タグ: 外交

本来の日付: 1853-09-08
追体験日付: 2027-09-08",,False
【1853年】吉田松陰渡欧相談,09/13/2027,,09/13/2027,,True,"【1853-09-13の出来事を追体験】
和暦: 嘉永6年8月18日
人物: 吉田松陰
解説: 海外渡航計画
タグ: 学問

本来の日付: 1853-09-13
追体験日付: 2027-09-13",,False
【1853年】大船建造禁廃止,09/15/2027,,09/15/2027,,True,"【1853-09-15の出来事を追体験】
和暦: 嘉永6年8月20日
人物: 幕府
解説: 軍艦建造解禁
タグ: 軍事

本来の日付: 1853-09-15
追体験日付: 2027-09-15",,False
【1853年】秋分,09/23/2027,,09/23/2027,,True,"【1853-09-23の出来事を追体験】
和暦: 嘉永6年8月28日
人物: 暦
解説: 昼夜平分
タグ: 自然

本来の日付: 1853-09-23
追体験日付: 2027-09-23",,False
【1853年】海防費用算定,09/25/2027,,09/25/2027,,True,"【1853-09-25の出来事を追体験】
和暦: 嘉永6年8月30日
人物: 勘定奉行
解説: 軍事予算検討
タグ: 経済

本来の日付: 1853-09-25
追体験日付: 2027-09-25",,False
【1853年】台場建設本格化,09/26/2027,,09/26/2027,,True,"【1853-09-26の出来事を追体験】
和暦: 嘉永6年9月1日
人物: 江川英龍
解説: 防御施設急速建設
タグ: 軍事

本来の日付: 1853-09-26
追体験日付: 2027-09-26",,False
【1853年】秋の収穫調査,10/01/2027,,10/01/2027,,True,"【1853-10-01の出来事を追体験】
和暦: 嘉永6年9月6日
人物: 郡代
解説: 年貢徴収準備
タグ: 経済

本来の日付: 1853-10-01
追体験日付: 2027-10-01",,False
【1853年】幕府兵器購入計画,10/05/2027,,10/05/2027,,True,"【1853-10-05の出来事を追体験】
和暦: 嘉永6年9月10日
人物: 幕府
解説: 西洋武器導入
タグ: 軍事

本来の日付: 1853-10-05
追体験日付: 2027-10-05",,False
【1853年】寒露,10/08/2027,,10/08/2027,,True,"【1853-10-08の出来事を追体験】
和暦: 嘉永6年9月13日
人物: 暦
解説: 冷たい露が降りる頃
タグ: 自然

本来の日付: 1853-10-08
追体験日付: 2027-10-08",,False
【1853年】洋式帆走軍艦建造開始,10/17/2027,,10/17/2027,,True,"【1853-10-17の出来事を追体験】
和暦: 嘉永6年9月22日
人物: 諸藩
解説: 海軍近代化
タグ: 軍事

本来の日付: 1853-10-17
追体験日付: 2027-10-17",,False
【1853年】徳川家定13代将軍就任,10/23/2027,,10/23/2027,,True,"【1853-10-23の出来事を追体験】
和暦: 嘉永6年9月28日
人物: 徳川家定
解説: 危機下の将軍誕生
タグ: 政治

本来の日付: 1853-10-23
追体験日付: 2027-10-23",,False
【1853年】霜降,10/24/2027,,10/24/2027,,True,"【1853-10-24の出来事を追体験】
和暦: 嘉永6年9月29日
人物: 暦
解説: 霜が降り始める頃
タグ: 自然

本来の日付: 1853-10-24
追体験日付: 2027-10-24",,False
【1853年】吉田松陰長崎到着,10/27/2027,,10/27/2027,,True,"【1853-10-27の出来事を追体験】
和暦: 嘉永6年10月2日
人物: 吉田松陰
解説: 海外渡航企て実行
タグ: 脱藩

本来の日付: 1853-10-27
追体験日付: 2027-10-27",,False
【1853年】川路聖謨長崎派遣,10/30/2027,,10/30/2027,,True,"【1853-10-30の出来事を追体験】
和暦: 嘉永6年10月5日
人物: 川路聖謨
解説: 対露交渉開始
タグ: 外交

本来の日付: 1853-10-30
追体験日付: 2027-10-30",,False
【1853年】冬支度準備,11/01/2027,,11/01/2027,,True,"【1853-11-01の出来事を追体験】
和暦: 嘉永6年10月7日
人物: 庶民
解説: 季節対応
タグ: 社会

本来の日付: 1853-11-01
追体験日付: 2027-11-01",,False
【1853年】ジョン万次郎幕臣登用,11/05/2027,,11/05/2027,,True,"【1853-11-05の出来事を追体験】
和暦: 嘉永6年10月11日
人物: ジョン万次郎
解説: 異例の海外経験者抜擢
タグ: 政治

本来の日付: 1853-11-05
追体験日付: 2027-11-05",,False
【1853年】立冬,11/07/2027,,11/07/2027,,True,"【1853-11-07の出来事を追体験】
和暦: 嘉永6年10月13日
人物: 暦
解説: 冬の始まり
タグ: 自然

本来の日付: 1853-11-07
追体験日付: 2027-11-07",,False
【1853年】諸藩軍備拡充加速,11/15/2027,,11/15/2027,,True,"【1853-11-15の出来事を追体験】
和暦: 嘉永6年10月21日
人物: 諸藩
解説: 洋式軍備導入
タグ: 軍事

本来の日付: 1853-11-15
追体験日付: 2027-11-15",,False
【1853年】小雪,11/22/2027,,11/22/2027,,True,"【1853-11-22の出来事を追体験】
和暦: 嘉永6年10月28日
人物: 暦
解説: 寒くなり雪が降り始める
タグ: 自然

本来の日付: 1853-11-22
追体験日付: 2027-11-22",,False
【1853年】家定正式将軍宣下,11/23/2027,,11/23/2027,,True,"【1853-11-23の出来事を追体験】
和暦: 嘉永6年10月29日
人物: 徳川家定
解説: 朝廷承認獲得
タグ: 政治

本来の日付: 1853-11-23
追体験日付: 2027-11-23",,False
【1853年】海防論議全国拡大,11/28/2027,,11/28/2027,,True,"【1853-11-28の出来事を追体験】
和暦: 嘉永6年11月4日
人物: 諸藩
解説: 開国攘夷論争激化
タグ: 政治

本来の日付: 1853-11-28
追体験日付: 2027-11-28",,False
【1853年】年末警備強化,12/01/2027,,12/01/2027,,True,"【1853-12-01の出来事を追体験】
和暦: 嘉永6年11月7日
人物: 町奉行
解説: 治安維持
タグ: 社会

本来の日付: 1853-12-01
追体験日付: 2027-12-01",,False
【1853年】プチャーチン再来航,12/05/2027,,12/05/2027,,True,"【1853-12-05の出来事を追体験】
和暦: 嘉永6年11月11日
人物: プチャーチン
解説: 通商交渉再開
タグ: 外交

本来の日付: 1853-12-05
追体験日付: 2027-12-05",,False
【1853年】大雪,12/07/2027,,12/07/2027,,True,"【1853-12-07の出来事を追体験】
和暦: 嘉永6年11月13日
人物: 暦
解説: 雪が激しく降る頃
タグ: 自然

本来の日付: 1853-12-07
追体験日付: 2027-12-07",,False
【1853年】年末軍備総点検,12/15/2027,,12/15/2027,,True,"【1853-12-15の出来事を追体験】
和暦: 嘉永6年11月21日
人物: 幕府
解説: 海防体制確認
タグ: 軍事

本来の日付: 1853-12-15
追体験日付: 2027-12-15",,False
【1853年】冬至,12/22/2027,,12/22/2027,,True,"【1853-12-22の出来事を追体験】
和暦: 嘉永6年11月28日
人物: 暦
解説: 一年で昼が最も短い日
タグ: 自然

本来の日付: 1853-12-22
追体験日付: 2027-12-22",,False
【1853年】万次郎中濱姓拝領,12/23/2027,,12/23/2027,,True,"【1853-12-23の出来事を追体験】
和暦: 嘉永6年11月29日
人物: ジョン万次郎
解説: 旗本格待遇獲得
タグ: 政治

本来の日付: 1853-12-23
追体験日付: 2027-12-23",,False
【1853年】嘉永6年総括,12/31/2027,,12/31/2027,,True,"【1853-12-31の出来事を追体験】
和暦: 嘉永6年12月7日
人物: 幕閣
解説: 激動の一年総点検
タグ: 政治

本来の日付: 1853-12-31
追体験日付: 2027-12-31",,False
【1854年】正月、将軍家定初年賀,01/01/2028,,01/01/2028,,True,"【1854-01-01の出来事を追体験】
和暦: 嘉永6年12月8日
人物: 徳川家定
解説: 新将軍として初の正月
タグ: 政治

本来の日付: 1854-01-01
追体験日付: 2028-01-01",,False
【1854年】正月二日年賀継続,01/02/2028,,01/02/2028,,True,"【1854-01-02の出来事を追体験】
和暦: 嘉永6年12月9日
人物: 幕閣
解説: 家定時代の年始儀礼
タグ: 政治

本来の日付: 1854-01-02
追体験日付: 2028-01-02",,False
【1854年】プチャーチン交渉継続,01/03/2028,,01/03/2028,,True,"【1854-01-03の出来事を追体験】
和暦: 嘉永6年12月10日
人物: プチャーチン
解説: 長崎での通商交渉
タグ: 外交

本来の日付: 1854-01-03
追体験日付: 2028-01-03",,False
【1854年】川路聖謨対露交渉,01/05/2028,,01/05/2028,,True,"【1854-01-05の出来事を追体験】
和暦: 嘉永6年12月12日
人物: 川路聖謨
解説: 日露外交の本格化
タグ: 外交

本来の日付: 1854-01-05
追体験日付: 2028-01-05",,False
【1854年】七草粥,01/07/2028,,01/07/2028,,True,"【1854-01-07の出来事を追体験】
和暦: 嘉永6年12月14日
人物: 全国
解説: 年中行事継続
タグ: 社会

本来の日付: 1854-01-07
追体験日付: 2028-01-07",,False
【1854年】鏡開き,01/11/2028,,01/11/2028,,True,"【1854-01-11の出来事を追体験】
和暦: 嘉永6年12月18日
人物: 全国
解説: 武家・庶民共通行事
タグ: 社会

本来の日付: 1854-01-11
追体験日付: 2028-01-11",,False
【1854年】外国奉行設置検討,01/12/2028,,01/12/2028,,True,"【1854-01-12の出来事を追体験】
和暦: 嘉永6年12月19日
人物: 幕府
解説: 専門外交機関準備
タグ: 政治

本来の日付: 1854-01-12
追体験日付: 2028-01-12",,False
【1854年】小正月,01/15/2028,,01/15/2028,,True,"【1854-01-15の出来事を追体験】
和暦: 嘉永6年12月22日
人物: 全国
解説: 望月の祝い
タグ: 社会

本来の日付: 1854-01-15
追体験日付: 2028-01-15",,False
【1854年】対米交渉方針決定,01/18/2028,,01/18/2028,,True,"【1854-01-18の出来事を追体験】
和暦: 嘉永6年12月25日
人物: 老中
解説: 開国方針最終確定
タグ: 外交

本来の日付: 1854-01-18
追体験日付: 2028-01-18",,False
【1854年】大寒,01/20/2028,,01/20/2028,,True,"【1854-01-20の出来事を追体験】
和暦: 嘉永6年12月27日
人物: 暦
解説: 一年最寒期
タグ: 自然

本来の日付: 1854-01-20
追体験日付: 2028-01-20",,False
【1854年】洋学者登用,01/22/2028,,01/22/2028,,True,"【1854-01-22の出来事を追体験】
和暦: 嘉永6年12月29日
人物: 幕府
解説: 西洋知識人材活用
タグ: 学問

本来の日付: 1854-01-22
追体験日付: 2028-01-22",,False
【1854年】対米対応策最終検討,01/25/2028,,01/25/2028,,True,"【1854-01-25の出来事を追体験】
和暦: 嘉永7年1月3日
人物: 幕閣
解説: ペリー再来航準備
タグ: 政治

本来の日付: 1854-01-25
追体験日付: 2028-01-25",,False
